iteration,gini,theil_l,theil_t,atkinson_25,atkinson_50,atkinson_75,num_zones,avg_num_blocks_per_zone,min_num_blocks_per_zone,max_num_blocks_per_zone,mean_zone_pop,min_zone_pop,max_zone_pop,mean_zone_hhcount,min_zone_hhcount,max_zone_hhcount
0,0.20330044017647156,0.07001195585303713,0.06471180336469265,0.016369134738041802,0.033109540320521935,0.05020083159046074,255,51.227450980392156,9,114,4418.250980392157,1789.0,6416.0,1866.3254901960784,336,4487
1,0.20297174199260024,0.06948741184335486,0.06422993185360008,0.016254332680006645,0.032883963215973755,0.04985558900871223,251,51.70916334661354,6,108,4488.661354581674,667.0,6805.0,1896.0677290836654,476,3217
2,0.20306006866408785,0.0704905835796588,0.06466132847796967,0.016387024528291216,0.033207268700750414,0.0504412588909976,251,51.645418326693225,13,106,4488.661354581674,1948.0,7757.0,1896.0677290836654,537,3705
3,0.20424507777344655,0.07072476797554814,0.06518704884064021,0.01649862722378659,0.033390874274500604,0.05065896722085128,249,51.83132530120482,4,121,4524.714859437751,250.0,6583.0,1911.29718875502,116,3924
4,0.20385548401036804,0.07137037276503765,0.06520822656103709,0.016532995510928683,0.033526005619387456,0.05097644616585151,253,51.72727272727273,1,119,4453.177865612648,162.0,7417.0,1881.0790513833992,11,3512
5,0.20112054836886573,0.06826346647576019,0.0631250024783782,0.015972477907418625,0.032312566880519755,0.04899408768177704,250,51.58,16,108,4506.616,2201.0,6953.0,1903.652,727,4206
6,0.1999743995909915,0.06704935735536516,0.0623403925403934,0.015756069803341433,0.031837409259876215,0.04821435408628261,246,51.98780487804878,3,98,4579.8943089430895,223.0,7507.0,1934.6056910569105,48,3776
7,0.20163089042699825,0.06853700658470817,0.06343763991484742,0.016047454500328073,0.03245591347994259,0.04919824333866818,250,52.26,9,108,4506.616,1167.0,6647.0,1903.652,344,3273
8,0.20159360172944843,0.06817584057033886,0.06331855809496754,0.016005390930751484,0.03234539609940168,0.048990196745475,249,52.44979919678715,20,106,4524.714859437751,2462.0,7585.0,1911.29718875502,490,3752
9,0.2030891673735822,0.06965440990258169,0.06444111927436645,0.01630467782320144,0.032978587447029084,0.04998626297300279,247,52.86234817813765,2,107,4561.352226720648,61.0,7360.0,1926.7732793522266,109,3483
10,0.2048496898300108,0.07157606160261448,0.06580920448383724,0.016667614237129147,0.03375321466124126,0.05123267255573982,250,51.884,4,116,4506.616,293.0,7414.0,1903.652,36,4287
11,0.20423291834176688,0.07096625306948391,0.06526851183901479,0.016528248875755103,0.03346876846368274,0.05080288316280579,250,52.008,4,109,4506.616,412.0,7537.0,1903.652,122,3448
12,0.19789575056227743,0.06634513876039026,0.06124511789520811,0.015508774026836813,0.03139682474575123,0.04763604036171676,251,51.43426294820717,12,110,4488.661354581674,2080.0,7415.0,1896.0677290836654,640,3805
13,0.20710754812741658,0.07288650555922783,0.06702590592822828,0.016971876750750292,0.034361422622562254,0.05214501287948903,251,51.61752988047809,2,110,4488.661354581674,485.0,6865.0,1896.0677290836654,137,4625
14,0.2032842443652538,0.0704895846355157,0.06480569151651475,0.01641158978553192,0.033236075969029,0.05045924443004113,249,51.93172690763052,4,104,4524.714859437751,17.0,8892.0,1911.29718875502,34,3767
15,0.20082980815637763,0.06757404512828097,0.06279525751813675,0.015873157576299923,0.032076821189163995,0.04857903189602086,249,51.610441767068274,18,108,4524.714859437751,2234.0,6651.0,1911.29718875502,373,3687
16,0.20253239516978025,0.0693690516898128,0.06407305637207647,0.0162142643724259,0.03280650031232335,0.04975137356013448,247,51.935222672064775,12,103,4561.352226720648,1981.0,6582.0,1926.7732793522266,981,3205
17,0.2035681844335026,0.07051973609167447,0.06481632286934677,0.01641941743284936,0.033256933859413196,0.050489902035173895,248,52.08064516129032,7,105,4542.959677419355,1401.0,7347.0,1919.0040322580646,610,3530
18,0.20070813092280565,0.0680411202127001,0.06289971714226911,0.01592056430962574,0.032214014230459775,0.048846931205670074,247,52.25506072874494,2,114,4561.352226720648,75.0,6696.0,1926.7732793522266,32,3762
19,0.20237030358190664,0.06905551849230701,0.06383262716950967,0.0161499721374192,0.032669535919116255,0.04953596186367215,248,52.229838709677416,12,102,4542.959677419355,1824.0,7047.0,1919.0040322580646,504,3422
20,0.2029426468697795,0.06956563895484616,0.06428173858755547,0.01626840617469727,0.03291463426512631,0.04990579201974754,248,51.770161290322584,11,104,4542.959677419355,1401.0,6527.0,1919.0040322580646,735,3761
21,0.20250660703839796,0.06798736924416499,0.06362546160431165,0.016055831192828274,0.03238832714509099,0.04895992970393881,246,52.50813008130081,7,112,4579.8943089430895,921.0,7649.0,1934.6056910569105,506,4633
22,0.20284738742890127,0.07162459139559428,0.0649247282416852,0.01648712666619101,0.03349392402534224,0.05103320328613359,248,52.04032258064516,1,111,4542.959677419355,162.0,6332.0,1919.0040322580646,11,4058
23,0.20339558597580426,0.0691113495605931,0.0643171818473141,0.016249654057748253,0.03281991750509394,0.049676059499750846,252,51.36507936507937,17,119,4470.849206349207,1097.0,6803.0,1888.5436507936508,290,3774
24,0.20059228979420032,0.06838355905813953,0.06304310866664944,0.01595953394048899,0.03230746507670523,0.04902712316282887,251,51.83665338645418,13,107,4488.661354581674,1925.0,6874.0,1896.0677290836654,569,4180
25,0.20366618517801172,0.06957954101748386,0.0646355667199362,0.016336781839666026,0.03300960931365682,0.04998312542606309,251,51.70916334661354,14,113,4488.661354581674,1648.0,7335.0,1896.0677290836654,613,4257
26,0.20286314949771686,0.07032778173175439,0.06457061126435562,0.0163616361575466,0.033150096954393304,0.050343352941726094,251,51.70517928286853,7,122,4488.661354581674,1236.0,6503.0,1896.0677290836654,374,3837
27,0.20029067587309357,0.06695038069614088,0.0622839814660948,0.015743342828155593,0.03181001242063153,0.04816292451310544,245,52.714285714285715,12,116,4598.587755102041,2537.0,6884.0,1942.5020408163266,891,4290
28,0.20025984923453513,0.0680353968741344,0.06274627355665287,0.015889641044321223,0.03216944382295028,0.04880967697254379,251,51.58565737051793,15,110,4488.661354581674,1738.0,7336.0,1896.0677290836654,830,3993
29,0.20244652568872498,0.06887948606190544,0.06378785548960365,0.016137430645342454,0.032635300863036454,0.04945751395246012,253,51.22529644268775,8,108,4453.177865612648,1167.0,6588.0,1881.0790513833992,230,4247
30,0.20346532722893287,0.06918374077734044,0.06435863732321576,0.016266915336383025,0.03286201164454661,0.04973940126134402,251,51.52589641434263,14,118,4488.661354581674,1979.0,7313.0,1896.0677290836654,428,3907
31,0.2007247432617991,0.06803699649695812,0.06300052715825692,0.01593189939055173,0.03221719066717932,0.04883821710035263,249,51.93975903614458,3,109,4524.714859437751,57.0,6434.0,1911.29718875502,27,4417
32,0.2025543456624121,0.06976598622875596,0.06430950271969947,0.016280424710348296,0.03295519868552055,0.050001327436503984,253,51.134387351778656,5,112,4453.177865612648,426.0,6699.0,1881.0790513833992,136,3651
33,0.20309599986393703,0.06928375638910196,0.06437156410107914,0.016267312941497414,0.03286704966746867,0.049769535815978205,252,51.42063492063492,14,115,4470.849206349207,1922.0,6640.0,1888.5436507936508,903,3954
34,0.20561531206781836,0.07266866198048123,0.06643395357723551,0.016844219289042228,0.0341525122102988,0.05190910882243727,252,51.70634920634921,9,107,4470.849206349207,675.0,6975.0,1888.5436507936508,315,4122
35,0.20290949674761938,0.06821833117557488,0.06388076557589001,0.01611910807661865,0.03251172323805396,0.04913605579996383,253,51.4703557312253,1,109,4453.177865612648,61.0,7472.0,1881.0790513833992,18,4263
36,0.2028771623156883,0.06950072567237833,0.06436401081626356,0.016279714602930317,0.03291905472921486,0.049885854016550324,248,52.233870967741936,13,106,4542.959677419355,1342.0,7494.0,1919.0040322580646,366,4233
37,0.20163970367206469,0.06865426476111103,0.0633759523288453,0.016044970876175402,0.032473850626351664,0.049254951326109575,252,51.27777777777778,9,106,4470.849206349207,1388.0,7132.0,1888.5436507936508,272,3297
38,0.20076175544881636,0.06736742144869393,0.0627399946787101,0.01584931105762133,0.032010680506148415,0.04845518130123627,251,51.66533864541832,18,106,4488.661354581674,1373.0,6651.0,1896.0677290836654,386,4481
39,0.2016327921948283,0.06901190771863167,0.06364439036818482,0.016114631066784235,0.03262087433641714,0.04948981228584404,248,51.939516129032256,13,110,4542.959677419355,1376.0,6882.0,1919.0040322580646,535,3522
40,0.20208402666125086,0.0690394475402153,0.06382868524904808,0.016150116774332757,0.03267131357890518,0.04953621258503427,250,51.804,9,115,4506.616,1567.0,7459.0,1903.652,410,3515
41,0.20065453536679909,0.06715631152287536,0.06260418367365016,0.015813903956824582,0.031934079098757784,0.048326556646123064,246,52.27235772357724,1,105,4579.8943089430895,0.0,7403.0,1934.6056910569105,5,3573
42,0.20516863681821038,0.07182420986196716,0.06589043367271416,0.016690419868776396,0.033810728696743175,0.051351906553237625,250,51.648,1,123,4506.616,162.0,7732.0,1903.652,11,3644
43,0.20163682888404424,0.06785437719105177,0.0631877433112832,0.01596372400237689,0.032241558497110856,0.048800628370642585,249,51.570281124497996,11,111,4524.714859437751,576.0,6598.0,1911.29718875502,812,3573
44,0.20192749074445937,0.06901138304276233,0.06380781854778177,0.01614330581534773,0.0326559053114438,0.04951312142985487,250,51.724,2,112,4506.616,61.0,7804.0,1903.652,23,3666
45,0.2007739748585154,0.06817960942090436,0.06294616121371048,0.01593143979941747,0.032240899623556696,0.04890773857396402,248,51.939516129032256,8,113,4542.959677419355,661.0,7467.0,1919.0040322580646,315,3836
46,0.20168419439779614,0.06876747129835194,0.06355577289007985,0.016082113883703064,0.03253658907897661,0.04933824921628649,251,51.537848605577686,4,113,4488.661354581674,349.0,7366.0,1896.0677290836654,153,3910
